logname,date,random,version,response type, response, tid, mid, merchant_name, ac, success, tableno, random
Pay@Table_log.log,[28-Jan 00:00:06,8,1.0,M,P,28441628,25025222,ONEIWAGAMBLUE,7E583-FC860-2F441-DB323,0,3443,{332##PENDING#1217#{5732##01#1217##ICAgICAgICAgICAgIHdhZ2FtYW1hIHVrIGx0ZCAgICAgICAgICAgICAgIyAgICAgICAgICAgICAgICAgdW5pdCAwMSAgICAgICAgICAgICAgICAgICMgICAgICAgICAgICAgICAgYmx1ZXdhdGVyICAgICAgICAgICAgICAgICAjICAgICAgICAgICAgZ3JlZW5oaXRoZSBkYTkgOXN0ICAgICAgICAgICAgIyAgICAgICAgICAgIHRlbDogMDEzMjIgMzg3IDc3MyAgICAgICAgICAgICMgICAgICAgICB2YXQgcmVnOiBnYiA2ODEgNDQ3NSAxNyAgICAgICAgICAjICAgICAgICAgICAgICAgMTA5IHN3a2FyZW4gICAgICAgICAgICAgICAgIyAgICAgLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0gICAgICMgICAgICAgMzMyLzEgICBjICAgNTczMiAgICAgICBHc3QgMiAgICAgICAjICAgICAgICAgICAgIEphbjI3JzEyIDA5OjAyUE0gICAgICAgICAgICAgIyAgICAgLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0gICAgICMgICAgICAgMSBzdXBlciBqdWljZSAgICAgICAgICAwLjAwICAgICAgICAjICAgICAgICAgbHJnIHN1cGVyIGp1aWNlICAgIDQuMzUgICAgICAgICAgIyAgICAgICAxIHBpbm90IGcgMTI1bWwgICAgICAgIDMuNjUgICAgICAgICMgICAgICAgMSBjaGlrIHRlcmkgZG9uYnVyICAgICA4LjgwICAgICAgICAjICAgICAgIDEgeWFraSBzb2JhICAgICAgICAgICAgNy41NSAgICAgICAgIyAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICM=}}]
Pay@Table_log.log,[28-Jan 00:00:51,6,1.0,M,P,24927951,27662144,ONEINTLTHEATRSB,49F13-FBED4-FE430-2A593,0,943,{22##COMPLETED#0#{8083##01#0##}}]
Pay@Table_log.log,[28-Jan 00:00:56,6,1.0,M,P,27722824,27662128,ONEIPIZEASTPOR,34D5A-A4C2F-F14A4-3BA1D,0,4184,{78##COMPLETED#0#{5566##01#0##}}]
Pay@Table_log.log,[28-Jan 00:01:02,3,1.0,M,P,28441628,25025222,ONEIWAGAMBLUE,7E583-FC860-2F441-DB323,0,3443,{332##COMPLETED#0#{5732##01#0##ICAgICAgICAgICAgIHdhZ2FtYW1hIHVrIGx0ZCAgICAgICAgICAgICAgIyAgICAgICAgICAgICAgICAgdW5pdCAwMSAgICAgICAgICAgICAgICAgICMgICAgICAgICAgICAgICAgYmx1ZXdhdGVyICAgICAgICAgICAgICAgICAjICAgICAgICAgICAgZ3JlZW5oaXRoZSBkYTkgOXN0ICAgICAgICAgICAgIyAgICAgICAgICAgIHRlbDogMDEzMjIgMzg3IDc3MyAgICAgICAgICAgICMgICAgICAgICB2YXQgcmVnOiBnYiA2ODEgNDQ3NSAxNyAgICAgICAgICAjICAgICAgICAgICAgICAgMTA5IHN3a2FyZW4gICAgICAgICAgICAgICAgIyAgICAgLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0gICAgICMgICAgICAgMzMyLzEgICBjICAgNTczMiAgICAgICBHc3QgMiAgICAgICAjICAgICAgICAgICAgIEphbjI3JzEyIDA5OjAyUE0gICAgICAgICAgICAgIyAgICAgLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0gICAgICMgICAgICAgMSBzdXBlciBqdWljZSAgICAgICAgICAwLjAwICAgICAgICAjICAgICAgICAgbHJnIHN1cGVyIGp1aWNlICAgIDQuMzUgICAgICAgICAgIyAgICAgICAxIHBpbm90IGcgMTI1bWwgICAgICAgIDMuNjUgICAgICAgICMgICAgICAgMSBjaGlrIHRlcmkgZG9uYnVyICAgICA4LjgwICAgICAgICAjICAgICAgIDEgeWFraSBzb2JhICAgICAgICAgICAgNy41NSAgICAgICAgIyAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICMgICAgIC0tLS0tLS0tMTA5IENoZWNrIENsb3NlZC0tLS0tLS0tICAgICAjICAgICAtLS0tLS0tLS0yN0phbicxMiAyMzowMS0tLS0tLS0tLSAgICAgIw==}}]
Pay@Table_log.log,[28-Jan 00:01:39,3,1.0,M,P,27754021,27662138,ONEINTLTHEATRSB,A54AB-E0A51-1C49B-F9FF0,0,2123,{14##COMPLETED#0#{8084##01#0##}}]
Pay@Table_log.log,[28-Jan 00:01:52,9,1.0,M,P,28447435,27662186,ONEIELECTHSE,E5A72-419C3-BF408-191B9,0,3627,{10##PENDING#11138#{3680##01#0##}}]
Pay@Table_log.log,[28-Jan 00:02:02,5,1.0,M,P,27722863,27662124,ONEIPIZEASTPOR,34551-6CB1A-5048F-6A740,0,3907,{10##PENDING#3544#{5583##01#3544##}}]
Pay@Table_log.log,[28-Jan 00:02:05,1,1.0,M,P,24927951,27662144,ONEINTLTHEATRSB,49F13-FBED4-FE430-2A593,0,944,{15##COMPLETED#0#{8079##01#0##}}]
Pay@Table_log.log,[28-Jan 00:02:24,1,1.0,M,P,25784769,27662180,ONEIELECTHSE,B76C3-954CD-D640D-5BD55,0,2603,{4109##PENDING#2306#{4109##01#2306##}}]
Pay@Table_log.log,[28-Jan 00:02:38,1,1.0,M,P,28441182,27662113,ONEIWAHACASOHO,CD680-64EEF-444C4-EB079,0,4557,{14##COMPLETED#0#{2839##01#0##}}]
